Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Russisch Brot,Biscotto,"€ 0,99",,7.92 €/kg,,Nein,,,,images_aldi/aldi_offer_128.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Duplo-Choco-Duo,Ferrero,"€ 2,99",,kg-Preis 16.43,,Nein,,,,images_aldi/aldi_offer_129.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Alpenmilch Alpine Milk Lait,Milka,"€ 1,59",,kg-Preis 31.80,,Nein,,,,images_aldi/aldi_offer_130.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed"
Mints,Choceur,"€ 1,79",,kg-Preis 8.95,,Nein,,,,images_aldi/aldi_offer_131.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Irisches Ochsenbäckchen,Käfer,"€ 6,99",,kg-Preis 16.64,,Nein,,,,images_aldi/aldi_offer_132.jpg,"cat_fleisch_wurst,sub_rind,tag_whole_food"
Cheddar Würzig,Kerrygold,"€ 1,49",,12.42 €/kg,,Nein,,,,images_aldi/aldi_offer_133.jpg,"cat_molkerei_kaese,sub_fleischersatz,sub_kaese,sub_milchprodukte,tag_high_protein,tag_ultra_processed"
Lachsforellenfiletseite,Golden Seafood,"€ 7,99",,kg-Preis 15.99,,Nein,,,,images_aldi/aldi_offer_134.jpg,"cat_fisch_meeresfruechte,diet_lactose_free,tag_proteinreich"
Irischer Steaknacken,Irischer Steaknacken,"€ 14,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_135.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_schwein"
Wine Gums,Taste of British Isles,"€ 0,89",,3.87 €/kg,,Nein,,,,images_aldi/aldi_offer_136.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed"
Crunchy Fries,Speise Zeit,"€ 1,69",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_137.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_vegetarian,sub_kartoffeln,tag_ultra_processed"
Scones,Taste of British Isles,"€ 1,49",,kg-Preis 6.21,,Nein,,,,images_aldi/aldi_offer_138.jpg,"cat_getraenke,tag_ultra_processed"
Kalinka-Kefir,Müller,"€ 0,79",,1.58 €/kg bzw. l,,Nein,,,,images_aldi/aldi_offer_139.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_ultra_processed"
Hähnchen-Geschnetzeltes,Meine Metzgerei,"€ 6,99",,kg-Preis 8.74,,Nein,,,,images_aldi/aldi_offer_140.jpg,cat_fleisch_wurst
Arrabbiata Pastasauce,Barilla,"€ 1,79",,4.48 €/kg,,Nein,,,,images_aldi/aldi_offer_141.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_hackfleisch,sub_nudeln"
Tomaten Stückig mit Basilikum,ORO DI PARMA,"€ 1,19",,2.98 €/kg,,Nein,,,,images_aldi/aldi_offer_142.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Butter Chicken,YOUCOOK,"€ 3,79",,9.02 €/kg,,Nein,,,,images_aldi/aldi_offer_143.jpg,"cat_fleisch_wurst,diet_gluten_free,sub_butter_margarine,sub_gefluegel,sub_milchprodukte,tag_high_protein,tag_proteinreich,tag_ultra_processed"
Orientalisches Flatbread Classic,Schätze des Orients,"€ 1,89",,kg-Preis 6.30,,Nein,,,,images_aldi/aldi_offer_144.jpg,"cat_fleisch_wurst,tag_ultra_processed"
Pizza Tradizionale Margherita,Dr Oetker,"€ 1,99",,"kg-Preis 5.69, 4.85 bzw. 4.80",,Nein,,,,images_aldi/aldi_offer_145.jpg,"cat_tiefkuehl,sub_tk_pizza,tag_ultra_processed"
Auflaufkäse,Landliebe,"€ 1,49",,kg-Preis 9.93,,Nein,,,,images_aldi/aldi_offer_146.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed"
Jersey-Set,LILY DAN,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_147.jpg,cat_non_food
Sweatshirt,Lily Dan,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_148.jpg,cat_non_food
Bodies,Lily Dan,"€ 3,49",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_149.jpg,cat_non_food
Flüssigseife Sanfte Pflege,Lacura,"€ 0,65",,1 l = 1.30,,Nein,,,,images_aldi/aldi_offer_150.jpg,cat_drogerie
Abschminktücher Pflegend,Lacura,"€ 0,85",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_151.jpg,cat_drogerie
Körpermilch Classic,Lacura,"€ 1,19",,1-Preis 2.38,,Nein,,,,images_aldi/aldi_offer_152.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegetarian,sub_milchprodukte,tag_ultra_processed"
Duschgel Zitrone,LACURA,"€ 0,69",,1 l = 1.73,,Nein,,,,images_aldi/aldi_offer_153.jpg,"cat_drogerie,tag_whole_food"
