Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Grobstrick-Cardigan,Esmara,"12,99 €",,"16,99 €",,Nein,,,,images_lidl/lidl_offer_150.jpg
Pyjama,Esmara,"9,99 €",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_151.jpg
Langarmshirt,Esmara,"5,99 €",,"7,99 €",,Nein,,,,images_lidl/lidl_offer_152.jpg
Jeggings,Esmara,"6,99 € *",,"7,99 €",,Nein,,,,images_lidl/lidl_offer_153.jpg
Balkonkraftwerk ECOFLOW,Vale,"229,00 €",,"UVP
599,00 €",,Nein,,,,images_lidl/lidl_offer_154.jpg
Balkonkraftwerk-Starter-Set,Tronic,"99,99 €",,"149,00 €",,Nein,,,,images_lidl/lidl_offer_155.jpg
Balkonkraftwerk Flexible,Tronic,"379,00 €",,"449,00 €",,Nein,,,,images_lidl/lidl_offer_156.jpg
Polster-Reiniger oder Leder-Pflege,Sonax,"4,99 €",,"UVP
11,79 €",,Nein,,,,images_lidl/lidl_offer_157.jpg
Polieraufsatz- und Schwamm-Set,Parkside,"9,99 €",,,,Nein,,,,images_lidl/lidl_offer_158.jpg
Autositzauflage,Ultimate Speed,"9,99 €",,"19,99 €",,Nein,,,,images_lidl/lidl_offer_159.jpg
Silikon,Parkside,"2,99 €",,1 l = 9.97,,Nein,,,,images_lidl/lidl_offer_160.jpg
Waschsauger,Parkside,"79,99 €",,"89,99 €",,Nein,,,,images_lidl/lidl_offer_161.jpg
Air-Freshener,Sonax,"ab 2,66 € *",,,,Nein,,,,images_lidl/lidl_offer_162.jpg
Akku-LED-Leuchte,Parkside,"7,99 €",,,,Nein,,,,images_lidl/lidl_offer_163.jpg
Performance Akku-Drehschlagschrauber 20 V,Parkside,"99,99 €",,,,Nein,,,,images_lidl/lidl_offer_164.jpg
Kfz-Scheinwerferlampen,Ultimate Speed,"3,59 €",,"5,99 €",,Nein,,,,images_lidl/lidl_offer_165.jpg
Universal-Matten-Set,Ultimate Speed,"6,69 €",,"7,99 €",,Nein,,,,images_lidl/lidl_offer_166.jpg
Steckschlüssel-Satz,Parkside,"12,99 €",,,,Nein,,,,images_lidl/lidl_offer_167.jpg
Digitaler Tachometer/Lackdicken-Messgerät,Parkside,"12,99 €",,"17,99 €",,Nein,,,,images_lidl/lidl_offer_168.jpg
Ultraschall-Marderschreck mit Blitzlicht,Ultimate Speed,"9,99 €",,,,Nein,,,,images_lidl/lidl_offer_169.jpg
Motorrad-Regenhose,Crivit,"ab 12,99 €",,,,Nein,,,,images_lidl/lidl_offer_170.jpg
