Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Smart Tag Finder,Tronic,"€ 9,99",,"12,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_262.jpg,"cat_non_food,tag_ultra_processed",,ref_000262,,
Malbuch,Crelando,"€ 3,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_263.jpg,cat_non_food,,ref_000263,,
Erste-Hilfe-Set,Sensiplast,"€ 2,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_264.jpg,cat_non_food,,ref_000264,obs_0000012039,
DinoXperience in Königswinter,DinoXperience in Königswinter,"€ 59,00",,"73,00 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_265.jpg,"cat_non_food,diet_vegetarian",,ref_000265,,
Holiday Camp Aufenthalt,Heide Park,"€ 69,00",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_266.jpg,"cat_non_food,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000266,,
Ravensburger Spieleland,Lidl Reisen,"€ 65,00",,"84,00 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,,cat_non_food,,ref_000267,,
Autostadt Erlebniswelt Wolfsburg,Autostadt Erlebniswelt Wolfsburg,"€ 49,00",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_268.jpg,cat_non_food,,ref_000268,,
Seifenblasen Mini-Mix,Pustefix,"€ 4,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_269.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000269,obs_0000024891|obs_0000025558|obs_0000026566|obs_0000010378|obs_0000016653|obs_0000014741|obs_0000011774|obs_0000024151|obs_0000016055,
Fahrzeug,Lena,"€ 19,99",,"UVP
37,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_270.jpg,cat_non_food,,ref_000270,obs_0000015328|obs_0000016032|obs_0000003114|obs_0000002414|obs_0000014077|obs_0000024806|obs_0000014087|obs_0000013249|obs_0000026292|obs_0000013239,obs_0000015328|obs_0000016032
Schubkarre mit Gartenwerkzeug,Lupilu,"€ 12,99",,"19,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_271.jpg,cat_non_food,,ref_000271,,
