Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
K-CLASSIC,Kaliforn Pistazien XXL,"€ 4,44",,1 kg = 11.10,geröstet und gesalzen,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_266.jpg,cat_knabbern_naschen
Keine Marke,Kamelie,"€ 13,99",,Kein Mengenpreis,"versch. Farben, Topf Ø 19 cm",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_069.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food"
K-CLASSIC,Kartoffeltaschen,"€ 1,79",2.19,1 kg = 2.99,"vorfrittiert, mit Frischkäse-Kräuter- oder Spinat-Mozzarella-Füllung",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_173.jpg,cat_tiefkuehl
K-CLASSIC,Kasseler,"€ 1,11",1.25,1 kg = 11.10,"gepökelt, gegart, geräuchert, Spitzenqualität, in Scheiben",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_097.jpg,cat_fleisch_wurst
K-PURLAND,Kasseler Lachs,"€ 6,99",,Kein Mengenpreis,"vom Schwein, am Stück, goldgelb geräuchert",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_081.jpg,cat_fleisch_wurst
K-PURLAND,Kasseler Nacken Kamm XXL,"€ 6,29",,"entspr. z. B. für eine 2,3-kg-Packg. 14.47","vom Schwein, ohne Knochen, am Stück, goldgelb geräuchert",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_077.jpg,cat_fleisch_wurst
WHISKAS oder SHEBA,Katzenfutter,"€ 14,99",,1 kg = 2.94 - 6.00,"versch. Sorten, in Gelee oder Sauce",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_353.jpg,cat_drogerie
Keine Marke,Katzenhaus,"€ 14,99",,Kein Mengenpreis,"Aus robustem Polyesterfilz Einfache Steckmontage Mit weichem Katzenbett im Inneren Leicht zu reinigen, Kissen maschinenwaschbar Größe ca. B 46 x H 44 x T 38 cm",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_420.jpg,"cat_tiernahrung,tag_ultra_processed,tag_whole_food"
PURINA ONE,Katzennahrung,"€ 2,99",,1 kg = 3.99) / (1 kg = 3.32)**,versch. Sorten,Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_046.jpg,cat_tiernahrung
HEYYY,Kaugummi,"€ 2,49",,1 kg = 36.62,"ohne Zucker, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_279.jpg,"cat_knabbern_naschen,tag_ultra_processed"
KUNIBOO,Kinder-Blinkschuhe,"€ 9,99",,Kein Mengenpreis,Mit coolem Blink-Effekt bei jedem Schritt Obermaterial Textil und PU Strobel-Machart für hohe Flexibilität Mit Klettverschluss und elastische Schnürsenkel Mesh-Futter und Decksohle aus Textil Mit herausnehmbarer Decksohle EVA-Laufsohle mit Gummieinlage Größen 24 - 29,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_503.jpg,cat_non_food
KUNIBOO,Kinder-Boxershorts,"€ 3,99",,Kein Mengenpreis,Aus Baumwolle und Elastan (LYCRA®) Größen 98/104 - 122/128,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_489.jpg,cat_non_food
KANGAROOS,Kinder-Freizeitschuhe,"€ 19,99",UVP 39.95,Kein Mengenpreis,Obermaterial PU Innenausstattung EVA und Textil Laufsohle aus Gummi Größen 28 - 32,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_502.jpg,cat_non_food
KUNIBOO,Kinder-Pyjama,"€ 4,99",,Kein Mengenpreis,Aus Baumwolle Größen 98/104 - 110/116,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_485.jpg,cat_non_food
KUNIBOO,Kinder-Slips,"€ 2,99",,Kein Mengenpreis,Aus Baumwolle Größen 98/104 - 122/128,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_488.jpg,cat_non_food
KUNIBOO,Kinder-Socken,"€ 3,99",,Kein Mengenpreis,"Aus Bio-Baumwolle, Polyamid und Elastan (CREORA) Größen 19/22 - 31/34",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_500.jpg,cat_non_food
KUNIBOO,Kinder-Sweathose,"€ 3,99",,Kein Mengenpreis,"Aus Baumwolle und recyceltem, RCS-zertifiziertem Polyester Angenehm weich durch angeraute Innenseite Mit Eingriffstaschen Gummizugbund mit Bindeband und Bündchen Größen 98/104 - 122/128 Kuniboo",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_497.jpg,cat_non_food
KUNIBOO,Kinder-Sweatkleid,"€ 5,99",,Kein Mengenpreis,"Aus Baumwolle und recyceltem, RCS-zertifiziertem Polyester Angesetzter Tüllrock aus Polyester Mit Metallic-Print Bündchen am Ärmel Größen 98/104 - 122/128",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_496.jpg,cat_non_food
KUNIBOO,Kinder-Sweatpullover,"€ 3,99",,Kein Mengenpreis,"Aus Baumwolle und recyceltem, RCS-zertifiziertem Polyester Angenehm weich durch angeraute Innenseite Mit angesetzten Tüllrüschen aus Polyester Bündchen an Ärmel und Saum Größen 98/104 - 122/128",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_498.jpg,cat_non_food
KUNIBOO,Kinder-Tüllrock mit Leggings,"€ 4,99",,Kein Mengenpreis,"Aus recyceltem, GRS-zertifiziertem Polyester Leggings aus Baumwolle und Elastan (LYCRA®) Größen 98/104 - 122/128",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_495.jpg,cat_non_food
KUNIBOO,Kinder-Unterhemden,"€ 3,99",,Kein Mengenpreis,Aus Baumwolle und Elastan (LYCRA®) Größen 98/104 - 122/128,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_487.jpg,cat_non_food
DR OETKER,Kleine Kuchen,"€ 1,99",2.49,1 kg = 14.22,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_227.jpg,"cat_grundnahrung,sub_tk_pizza,tag_ultra_processed"
REINERT,Klosterschinken,"€ 1,49",2.49,Kein Mengenpreis,"Kochschinken, mild über Buchenholz geräuchert",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_112.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed"
HENGLEIN,Kloßteig,"€ 1,99",2.29,1 kg = 2.66,"Thüringer Art oder Fränkischer Kloßteig, ergibt 4 - 6 Klöße",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_183.jpg,"cat_grundnahrung,diet_vegetarian,sub_kartoffeln"
ENERGIZER,Knopfzellen CR2025,"€ 2,99",UVP 12.29,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_359.jpg,"cat_getraenke,tag_ultra_processed"
ENERGIZER,Knopfzellen CR2032,"€ 2,99",UVP 12.29,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_354.jpg,"cat_getraenke,tag_ultra_processed"
K-CLASSIC,Kondensmilch XXL 4 Fett,"€ 0,89",,1 kg = 1.78,4 % Fett,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_133.jpg,cat_molkerei_kaese
K-CARINURA,Kratzbaum,"€ 29,99",,Kein Mengenpreis,Aus strapazierfähigem Sisal und Plüsch Mit Hängematte ca. Ø 31 cm Liegefläche mit Ballspiel ca. Ø 40 cm Höhle mit Kratzbrett ca. Ø 30 x 25 cm Hängendes Tau Bodenplatte ca. 40 x 40 cm Größe ca. B 70 x H 115 x T 50 cm Belastbarkeit max. 6 kg Inkl. Montagematerial und Anleitung 3 Jahre Garantie,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_421.jpg,cat_non_food
PARKSIDE,Kreuzlinienlaser mit Stativ PKLL 10 B4,"€ 24,99",,Kein Mengenpreis,"2 Projektionsmodi: selbstnivellierend/beliebig Selbstnivellierungsbereich ±4° Nivellierungsgenauigkeit ±0,5 mm/m Einzellinienfunktion (horizontal und vertikal) Dreibein-Teleskopstativ mit Schnellverschlüssen Arbeitshöhe max. 65 cm Einstellbarer Schwenkkopf mit Wasserwaage Laser-Arbeitsbereich bis 10 m Laserklasse 2 Inkl. Batterien und Bedienungsanleitung 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_401.jpg,cat_non_food
K-CLASSIC,Kräuter Suppengrün oder Zwiebeln,"€ 1,29",,1 kg = 36.86 - 103.20,"gefriergetrocknet, versch. Sorten Kräuter",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_211.jpg,cat_grundnahrung
FERNET-BRANCA,Kräuterbitter,"€ 11,99",,1 l = 17.13,"mit 27 Kräutern und Gewürzen hergestellt, im Eichenfass gereift, 35 Vol. %",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_299.jpg,"cat_getraenke,diet_vegetarian"
DAFGARDS,Köttbullar oder Falafel,"€ 7,99",9.99,Kein Mengenpreis,fertig gebraten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_174.jpg,"cat_tiefkuehl,diet_vegetarian,tag_ultra_processed"
LIV BO,Küchenarmatur quadratisch,"€ 29,99",,Kein Mengenpreis,"Einstellbarer Temperaturbegrenzer Energiesparfunktion (Mittelposition nur kalt) Schwenkbarer Auslauf Mit ausziehbarem Brauseschlauch (30 cm) Dual-Funktionssprühkopf Mit leicht zu reinigendem Antikalk-Ausguss Geräuscharme 40-mm-Kartusche Mit Belüftereinsatz und Rückflussverhinderer Geprüfte, flexible 50-cm-Anschlussschläuche Passend für fast alle Standard-Spültische Für alle Druckwassersysteme Nicht für Niederdruckgeräte und Kleinspeicher Größe ca. 26 x 32 cm Inkl. Montagematerial und -anleitung 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_444.jpg,cat_non_food
LIV BO,Küchenarmatur rund,"€ 29,99",,Kein Mengenpreis,"Einstellbarer Temperaturbegrenzer Energiesparfunktion (Mittelposition nur kalt) Schwenkbarer Auslauf Mit ausziehbarem Brauseschlauch (30 cm) Dual-Funktionssprühkopf Mit leicht zu reinigendem Antikalk-Ausguss Geräuscharme 40-mm-Kartusche Mit Belüftereinsatz und Rückflussverhinderer Geprüfte, flexible 50-cm-Anschlussschläuche Passend für fast alle Standard-Spültische Für alle Druckwassersysteme Nicht für Niederdruckgeräte und Kleinspeicher Größe ca. 26 x 42 cm Inkl. Montagematerial und -anleitung 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_443.jpg,cat_non_food
SPICE SOUL,Küchenläufer,"€ 9,99",,Kein Mengenpreis,"Aus Polyester, mit Vinyl-Beschichtung Robuste Oberfläche Geschlossener Weichschaum Pflegeleicht (waschmaschinengeeignet) Individuell zuschneidbar Größe ca. 180 x 65 cm",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_505.jpg,cat_non_food
DICK DURSTIG,Küchentücher,"€ 1,99",2.69,Kein Mengenpreis,weiß oder mit Dekor,Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_692.jpg,cat_drogerie
SWITCH ON,Lade- und Datenkabel USB-A auf 8-Pin,"€ 1,49",,Kein Mengenpreis,Mit Klettverschluss zur Kabelaufwicklung Länge ca. 2 m,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_369.jpg,cat_non_food
SWITCH ON,Lade- und Datenkabel USB-A auf Micro-USB,"€ 1,49",,Kein Mengenpreis,Mit Klettverschluss zur Kabelaufwicklung Länge ca. 2 m,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_366.jpg,cat_non_food
SWITCH ON,Lade- und Datenkabel USB-A auf USB-C,"€ 1,49",,Kein Mengenpreis,Mit Klettverschluss zur Kabelaufwicklung Länge ca. 2 m,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_367.jpg,cat_non_food
SWITCH ON,Lade- und Datenkabel USB-C auf USB-C,"€ 1,49",,Kein Mengenpreis,Mit Klettverschluss zur Kabelaufwicklung Länge ca. 2 m,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_368.jpg,cat_non_food
Keine Marke,Laugenbrezel,"€ 0,25",,Kein Mengenpreis,mit Salz,Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_660.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
EMMI KALTBACH,Le Gruy re AOP,"€ 2,49",,Kein Mengenpreis,"schweiz. Hartkäse aus Rohmilch, 12 Monate gereift, fruchtig-würzig, 49 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_152.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte"
LIV BO,LED-Band RGB 10 m,"€ 12,99",,Kein Mengenpreis,"Ideal zur Schrank- oder Regalbeleuchtung Kürzbar und selbsthaftend Mit 900 dimmbaren LEDs 14 Farbwechselprogramme und 11 konstante Farben IR-Fernbedienung für alle Funktionen Mit Netzadapter Nur für den Innenbereich Leistungsaufnahme 24 W Zuleitung ca. 1,5 m Länge ca. 10 m Inkl. Anleitung, Klebeband und Batterie 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_378.jpg,cat_non_food
LIV BO,LED-Band RGB 5 m,"€ 7,99",,Kein Mengenpreis,"Ideal zur Schrank- oder Regalbeleuchtung Kürzbar und selbsthaftend Mit 450 dimmbaren LEDs 14 Farbwechselprogramme und 11 konstante Farben IR-Fernbedienung für alle Funktionen Mit Netzadapter Nur für den Innenbereich Leistungsaufnahme 24 W Zuleitung ca. 1,5 m Länge ca. 5 m Inkl. Anleitung, Klebeband und Batterie 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_379.jpg,cat_non_food
WEINBERGER,LED-Flächenlupe 37505,"€ 9,99",UVP 17.99,Kein Mengenpreis,Aus Kunststoff Mit 3-fach-Vergrößerung Vergrößerungsfläche ca. 24 x 16 cm Mit 12 integrierten LEDs Vollumfassende Beleuchtungsfunktion Ermöglicht das vereinfachte Ablesen Komfortable Nutzung bei Inhalten bis DIN A4,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_361.jpg,cat_non_food
THOMY,Les Sauces,"€ 0,99",,1 l = 3.96,versch. Sorten,Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_678.jpg,"cat_grundnahrung,diet_vegetarian"
ST MANG,Limburger oder Rubius,"€ 1,99",2.99,1 kg = 9.95 - 11.06) / (1 kg = 8.95 - 9.95)**,"würzig bis herzhaft-pikant, 40 - 60 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_138.jpg,"cat_molkerei_kaese,tag_ultra_processed"
EMYO,Limonade,"€ 0,89",1.09,1 l = 2.70,versch. Sorten (+ 0.25 Pfand),Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_290.jpg,"cat_getraenke,tag_ultra_processed"
K-CLASSIC,Linsen,"€ 1,39",,1 kg = 2.78,Teller- oder Rote Linsen,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_238.jpg,cat_grundnahrung
FUNNY-FRISCH,Linsen- oder Popchips,"€ 1,49",,1 kg = 16.56 - 18.63,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_264.jpg,"cat_knabbern_naschen,sub_huelsenfruechte,tag_ultra_processed"
PARKSIDE,Lithiumfett-Spray,"€ 2,99",,1 l = 9.97,"Fettschmierung für Lager, Spindel, Führungen Schmiert bewegliche Teile und Gleitflächen Vermindert Verschleiß von Lagern, Wellen, Ketten Auch als Batteriepolfett, Trenner, Konservierer Temperaturbeständig von -30 bis 120 °C Langzeitbeständig gegen Salzwasser Leicht dosierbar und sparsam im Gebrauch",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_395.jpg,cat_non_food
GREGORY S,London Dry Gin,"€ 5,55",6.49,1 l = 7.93,"traditionell destilliert, 37,5 Vol. %",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_298.jpg,cat_getraenke
FEBREZE,Lufterfrischer,"€ 2,99",3.95,1 l = 16.17,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_327.jpg,cat_drogerie
COPPENRATH WIESE,Lust auf Kuchen Torte,"€ 3,49",,1 kg = 6.02 - 9.70,"Erdbeer-Cheesecake, Feiner Apfelkuchen oder Spaghetti-Erdbeer-Torte",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_170.jpg,"cat_tiefkuehl,diet_vegetarian,tag_ultra_processed"
LANGNESE,Magnum,"€ 2,79",5.49,1 l = 4.65 - 6.35,"6 Stieleis Classic, Almond oder Mix oder Becher Double Hazelnut oder Pistachio",Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_005.jpg,"cat_tiefkuehl,sub_tk_eis,tag_ultra_processed"
LEIMER,Mark- oder Suppenklößchen,"€ 0,79",0.99,1 kg = 7.90,ideal als Einlage,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_235.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed"
CHIVERS,Marmelade oder Konfitüre,"€ 2,49",3.79,1 kg = 7.33 - 7.79,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_240.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed"
SOMAT,Maschinenreiniger-Tabs,"€ 1,99",2.45,1 kg = 34.92,"Duo Original, für die Spülmaschine",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_328.jpg,cat_drogerie
PARKSIDE,Mauernutfräse PMNF 1500 B2,"€ 49,99",,Kein Mengenpreis,"Für Beton, Ziegelmauerwerk, Putz oder Gips Elektronisch geregelter Motor Mit Sanftanlauf und Kraftnachschub bei Belastung Leerlaufdrehzahl 9.000 min-1 Für Diamanttrennscheiben bis Ø 125 mm Nutbreite/-tiefe 8 - 26 mm/0 - 30 mm Einfacher Scheibenwechsel (Spindelarretierung) Überlastungsschutz und Sicherheitsschalter Anschluss zur externen Staubabsaugung Adapter zur Staubabsaugung inkl. Reduzierstück Netzkabel ca. 4 m Anschlussleistung 1.500 W Inkl. 2 Diamanttrennscheiben Ø 125 mm Inkl. Spannschlüssel und Koffer 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_386.jpg,cat_non_food
KIDS WORLD,Maxi-Snack,"€ 3,99",,1 kg = 24.94,"Quarkdessert + Stofftier »PAW Patrol« oder »Peppa Pig«, versch. Ausführungen",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_123.jpg,"cat_molkerei_kaese,tag_ultra_processed"
K-CLASSIC,Mayonnaise,"€ 1,29",1.69,1 l = 2.58,mit Rapsöl,Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_679.jpg,cat_grundnahrung
PR SIDENT,Meersalz-Butter,"€ 2,49",4.79,1 kg = 9.96,mit echten Meersalzkörnern,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_129.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,sub_milchprodukte"
KEEEPER,Messbecher Mario,"€ 0,99",,Kein Mengenpreis,"Aus Kunststoff Mit mehreren Mess-Skalen Misst dank »Innenkegel« auch kleine Mengen Spülmaschinengeeignet Fassungsvermögen ca. 0,25 l Größe ca. Ø 9 x 12 cm",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_477.jpg,cat_non_food
BERGNER,Messer-Set Mocha,"€ 9,99",,Kein Mengenpreis,"Koch-, Santoku-, Universal- und Schälmesser Aus Edelstahl Mit ergonomisch geformtem Griff Klingenlänge ca. 20, 17, 13 und 9 cm",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_428.jpg,cat_non_food
KEEEPER,Messkanne Matteo,"€ 3,99",,Kein Mengenpreis,Aus Kunststoff Mit versch. Mess-Skalen Mit Griff und Ausguss Anti-Rutsch-Boden Spritzschutzring mit 4 Ausguss-Optionen Spritzschutzring und Deckel bequem auflegbar Zitruspresse in Messkanne versenkbar Spülmaschinengeeignet Fassungsvermögen ca. 1 l Größe ca. Ø 14 x 15 cm,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_480.jpg,cat_non_food
Keine Marke,Mexikan Spargel,"€ 3,99",4.99,1 kg = 9.98,"grün, Kl. I",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_059.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food"
INTENSO,microSD-Karte 64 GB,"€ 7,99",UVP 14.99,Kein Mengenpreis,Mit SD-Adapter Speicherkapazität 64 GB Geschwindigkeit bis zu 90 MB/sec,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_372.jpg,cat_non_food
GLICO,Mikado-Sticks,"€ 1,29",,1 kg = 17.20) / (1 kg = 14.80)**,"umhüllt mit feiner Schokolade, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_282.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegetarian,tag_ultra_processed"
KNOPPERS,Milch-Nuss-Schnitte,"€ 1,49",,1 kg = 7.45,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_274.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
