Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
MEGGLE,Butterschmalz,"€ 3,19",3.99,1 kg = 12.76,"zum Braten, Kochen oder Backen",Nein,Dieses Angebot findest du vom 16.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-16,2026-03-18,images_kaufland/kaufland_offer_792.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_vegetarian,sub_butter_margarine,sub_milchprodukte",BLS-Q683000,ref_000048,obs_0000013024|obs_0000018717|obs_0000001700|obs_0000019536|obs_0000023525|obs_0000002669|obs_0000005882|obs_0000006780,obs_0000018717|obs_0000001700|obs_0000019536|obs_0000013024|obs_0000023525|obs_0000002669
JP CHENET,Cabernet-Syrah oder Chardonnay-Colombard,"€ 3,49",4.49,1 l = 4.66,"Frankreich, z. B. Cabernet-Syrah: rund, süffig, Kirsch- und Paprikanoten, passt zu Wurst, Käse, Salaten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_335.jpg,"cat_getraenke,tag_ultra_processed",,ref_000049,obs_0000010356|obs_0000001950|obs_0000024628|obs_0000020415|obs_0000017218|obs_0000019266|obs_0000032311|obs_0000016082|obs_0000020085,obs_0000010356
COPPENRATH WIESE,Cafeteria fein sahnig,"€ 3,79",,1 kg = 6.32 - 8.43) / (1 kg = 5.49 - 7.32)**,Erdbeer-Joghurt oder Schokolade,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_176.jpg,"cat_tiefkuehl,diet_vegetarian,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed",,ref_000050,obs_0000012120|obs_0000032413|obs_0000012882|obs_0000026517|obs_0000004995|obs_0000028944|obs_0000028945|obs_0000030095|obs_0000030104,obs_0000004995|obs_0000012120
EMMI,Caff Latte,"€ 1,39",,1 l = 6.05,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_146.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,ref_000051,obs_0000013468|obs_0000011757|obs_0000032226|obs_0000012737|obs_0000019267|obs_0000020086|obs_0000023798|obs_0000025605|obs_0000028934|obs_0000024800|obs_0000003990|obs_0000004417|obs_0000000467|obs_0000004844|obs_0000009915,obs_0000013468|obs_0000002240|obs_0000011757|obs_0000032226
NESTL,Caro Landkaffee,"€ 2,99",3.99,1 kg = 14.95,"Original, instant, aus Gerste, Malz, Zichorie und Roggen",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_257.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,ref_000052,,
K-CLASSIC,Cashewkerne versch Sorten,"€ 5,00",5.97,1 kg = 11.14,geröstet & gesalzen oder pikant,Nein,Dieses Angebot findest du vom 16.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-16,2026-03-18,images_kaufland/kaufland_offer_798.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000053,obs_0000014633|obs_0000013779|obs_0000012712|obs_0000007960|obs_0000010161|obs_0000013810|obs_0000004119|obs_0000022728|obs_0000000269|obs_0000004546|obs_0000002909|obs_0000017572|obs_0000017645|obs_0000001471|obs_0000007620|obs_0000003692|obs_0000022308,obs_0000014633|obs_0000013779
NESTL,Cerealien,"€ 2,00",3.79,1 kg = 5.00 - 6.07,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_218.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,ref_000054,obs_0000026140|obs_0000010350|obs_0000024219|obs_0000018170|obs_0000019605|obs_0000013094|obs_0000002359|obs_0000018234|obs_0000018786|obs_0000020432|obs_0000009707|obs_0000017952|obs_0000017531|obs_0000011397|obs_0000026971|obs_0000011245|obs_0000013966|obs_0000005350|obs_0000010983|obs_0000006639|obs_0000009410|obs_0000008949,obs_0000026140|obs_0000010350|obs_0000019605|obs_0000024219|obs_0000005350|obs_0000018170|obs_0000013094|obs_0000002359|obs_0000018234|obs_0000018786|obs_0000020432|obs_0000009707
K-CLASSIC,Cheese- oder Chickenburger,"€ 1,99",2.79,1 kg = 6.64,"Frikadelle vom Rind, Schwein oder Hähnchen, mit Gouda im Sesambrötchen",Nein,Dieses Angebot findest du vom 16.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-16,2026-03-18,images_kaufland/kaufland_offer_787.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_high_protein,tag_ultra_processed",,ref_000055,obs_0000013049,obs_0000013049
LEIBNIZ,Choco,"€ 1,79",,1 kg = 14.32,"Butterkeks mit Schokolade, versch. Sorten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_306.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000056,obs_0000011854|obs_0000010564|obs_0000023554|obs_0000021507|obs_0000012816|obs_0000004114|obs_0000025665|obs_0000002648|obs_0000003687|obs_0000002163|obs_0000004762|obs_0000004771|obs_0000004335|obs_0000030962|obs_0000002805|obs_0000004344|obs_0000002817|obs_0000000265|obs_0000004876|obs_0000007464|obs_0000009512|obs_0000002883|obs_0000003908|obs_0000003917|obs_0000004449|obs_0000008072|obs_0000000411|obs_0000000417|obs_0000002473|obs_0000004022|obs_0000001977|obs_0000004541|obs_0000003030|obs_0000003033|obs_0000021499|obs_0000003584|obs_0000012858|obs_0000001099|obs_0000029779|obs_0000000630|obs_0000028793|obs_0000025214|obs_0000024735|obs_0000001251|obs_0000004845|obs_0000012082|obs_0000015677|obs_0000024893|obs_0000004418|obs_0000014699,obs_0000011854|obs_0000010564
SODA TASTE,CO2-Füllung Apfel,"€ 6,99",7.99,1 kg = 16.45,"Für Sprudelwasser mit Geschmack Mit natürlichen Aromen, ohne Zucker Für alle Sprudler mit Schraubverschluss Zylinderwechsel markenunabhängig möglich Reicht für bis zu 60 l Sprudelwasser Zylindertausch leer gegen voll",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_606.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,ref_000057,,
SODA TASTE,CO2-Füllung FanTaste,"€ 6,99",7.99,1 kg = 16.45,"Für Sprudelwasser mit Geschmack Mit natürlichen Aromen, ohne Zucker Für alle Sprudler mit Schraubverschluss Zylinderwechsel markenunabhängig möglich Reicht für bis zu 60 l Sprudelwasser Zylindertausch leer gegen voll",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_610.jpg,"cat_non_food,tag_ultra_processed",,ref_000058,,
SODA TASTE,CO2-Füllung Limette,"€ 6,99",7.99,1 kg = 16.45,"Für Sprudelwasser mit Geschmack Mit natürlichen Aromen, ohne Zucker Für alle Sprudler mit Schraubverschluss Zylinderwechsel markenunabhängig möglich Reicht für bis zu 60 l Sprudelwasser Zylindertausch leer gegen voll",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_608.jpg,"cat_obst_gemuese,diet_gluten_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000059,,
SODA TASTE,CO2-Füllung Minze,"€ 6,99",7.99,1 kg = 16.45,"Für Sprudelwasser mit Geschmack Mit natürlichen Aromen, ohne Zucker Für alle Sprudler mit Schraubverschluss Zylinderwechsel markenunabhängig möglich Reicht für bis zu 60 l Sprudelwasser Zylindertausch leer gegen voll",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_607.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000060,,
SODA TASTE,CO2-Füllung Zitrone,"€ 6,99",7.99,1 kg = 16.45,"Für Sprudelwasser mit Geschmack Mit natürlichen Aromen, ohne Zucker Für alle Sprudler mit Schraubverschluss Zylinderwechsel markenunabhängig möglich Reicht für bis zu 60 l Sprudelwasser Zylindertausch leer gegen voll",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_609.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000061,obs_0000029969|obs_0000027707,
PARKSIDE,COB-LED-Strahler PALC 4 A3,"€ 4,99",,Kein Mengenpreis,"Gehäuse spritzwassergeschützt (IP 44) Mit Griff und ausklappbarem Standfuß Netzunabhängiger Batteriebetrieb 3 Einstellungsmodi: 100 %, 50 %, Blinklicht Max. 500 lm, 6.500 K Leuchtdauer (max. Helligkeit) ca. 5 h Größe ca. B 13 x H 20 x T 4 cm Inkl. Batterien 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_465.jpg,cat_non_food,,ref_000062,obs_0000000922,
LAMBERTZ,Coco-Fleur Balena oder Divina,"€ 1,00",1.99,1 kg = 8.00 - 8.85,zartes Kaffeegebäck,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_309.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000063,obs_0000014001|obs_0000012590,obs_0000014001
FLUMI,Cola-Mix,"€ 6,49",8.49,1 l = 0.65,koffeinhaltig (+ 3.10 Pfand),Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_313.jpg,"cat_getraenke,tag_ultra_processed",,ref_000064,obs_0000011412|obs_0000014003|obs_0000024831|obs_0000027070|obs_0000025098|obs_0000029303|obs_0000025451|obs_0000007881|obs_0000008218|obs_0000008367|obs_0000024773|obs_0000012503|obs_0000008469|obs_0000004390|obs_0000008565|obs_0000020863|obs_0000000445|obs_0000016900|obs_0000025142|obs_0000012867|obs_0000025164|obs_0000029364|obs_0000004817|obs_0000002828|obs_0000000810|obs_0000015211|obs_0000019369|obs_0000015279|obs_0000001014|obs_0000011413|obs_0000025941|obs_0000015771|obs_0000013791|obs_0000017889|obs_0000026099|obs_0000026153|obs_0000007851|obs_0000020188|obs_0000026353|obs_0000016164|obs_0000024414|obs_0000003963|obs_0000024450|obs_0000024565|obs_0000007338|obs_0000005414|obs_0000005992|obs_0000000515|obs_0000021501|obs_0000021832,obs_0000024831|obs_0000027070|obs_0000025098|obs_0000029303|obs_0000025451|obs_0000011412|obs_0000014003
SCHWAMM,Cordon-Bleu-Braten,"€ 8,69",,Kein Mengenpreis,"vom Schwein, gewürzt, gefüllt mit Kochschinken und Schmelzkäsezubereitung",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_095.jpg,"cat_fleisch_wurst,sub_schwein",BLS-Y231632,ref_000065,obs_0000010028|obs_0000011717|obs_0000009482|obs_0000009032|obs_0000008555|obs_0000003202|obs_0000011279|obs_0000001307|obs_0000027309|obs_0000002233|obs_0000031595|obs_0000008092|obs_0000001472|obs_0000031559|obs_0000005984|obs_0000005221|obs_0000006888|obs_0000006517|obs_0000025461,obs_0000009482|obs_0000010028|obs_0000011717|obs_0000009032|obs_0000008555
Keine Marke,Costa-rican honduran Cantaloupemelone lose,"€ 2,49",3.49,Kein Mengenpreis,Kl. I,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_068.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,ref_000066,,
KINDER,Country,"€ 1,99",3.29,1 kg = 15.56) / (1 kg = 9.41)**,Schokoriegel mit Cerealien und Milchcreme-Füllung,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_278.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000067,obs_0000013353|obs_0000010351|obs_0000021119|obs_0000006021|obs_0000028554|obs_0000024468|obs_0000029469|obs_0000006732|obs_0000023253|obs_0000027221|obs_0000020960|obs_0000017002|obs_0000013038|obs_0000009073|obs_0000027173,obs_0000006021|obs_0000013353|obs_0000010351|obs_0000021119
TUC,Cracker,"€ 2,00",,1 kg = 6.67,Original,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_267.jpg,"cat_knabbern_naschen,tag_ultra_processed",BLS-D050000,ref_000068,obs_0000011830|obs_0000010826|obs_0000014417|obs_0000009983|obs_0000025114|obs_0000003314|obs_0000008355|obs_0000024152|obs_0000007131|obs_0000018693|obs_0000005262|obs_0000012819|obs_0000025895|obs_0000007470|obs_0000019512|obs_0000017489|obs_0000029161|obs_0000025072|obs_0000023673|obs_0000029708|obs_0000006934|obs_0000028098|obs_0000011664,obs_0000025114|obs_0000011830|obs_0000010826|obs_0000014417|obs_0000003314|obs_0000009983
JACOBS,Crema Kaffeepads,"€ 2,29",2.79,1 kg = 19.41,klassik oder kräftig,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_255.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000069,obs_0000010552|obs_0000000201|obs_0000003313|obs_0000029224|obs_0000007589|obs_0000001562|obs_0000000609|obs_0000007805|obs_0000030857|obs_0000009170|obs_0000008699,obs_0000010552
NIVEA,Creme- oder Pflegedusche,"€ 5,37",,1 l = 5.40,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_384.jpg,cat_drogerie,,ref_000070,obs_0000012348|obs_0000011065|obs_0000014050|obs_0000030824|obs_0000014946|obs_0000003376|obs_0000018307|obs_0000009659|obs_0000011920|obs_0000010227,obs_0000012348|obs_0000011065|obs_0000014050
RAMA,Cremefine oder vegane Creme,"€ 0,99",1.49,1 l = 3.96 - 4.95,"zum Aufschlagen oder Kochen, 7 - 31 % Fett, versch. Sorten",Nein,Dieses Angebot findest du vom 16.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-16,2026-03-18,images_kaufland/kaufland_offer_789.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegan,diet_vegetarian,sub_fleischersatz,tag_ultra_processed",,ref_000071,obs_0000008300|obs_0000009789|obs_0000027022|obs_0000021528|obs_0000015457|obs_0000023743|obs_0000015898|obs_0000030824,
DANVITA,Crisp Bread,"€ 1,49",1.99,1 kg = 11.47,"knusprige Weizenbrot-Sticks, versch. Sorten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_206.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,ref_000072,,
DR OETKER,Cr me fra che l g re oder Vega,"€ 0,99",1.39,1 kg = 6.60 - 7.92,"natur oder z. T. auch mit Kräutern, 15 - 30 % Fett",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_147.jpg,"cat_molkerei_kaese,tag_ultra_processed",,ref_000073,obs_0000011327|obs_0000014321|obs_0000032159|obs_0000006778|obs_0000029945|obs_0000021554|obs_0000001599|obs_0000008597|obs_0000020072|obs_0000019253|obs_0000014695,obs_0000011327|obs_0000014321
SPORT BY ZAPATO,Damen-Badepantoletten,"€ 3,99",,Kein Mengenpreis,"Ideal für Freizeit, Strand und Garten Aus robustem, abwaschbarem EVA-Material Größen 37 - 41",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_541.jpg,"cat_non_food,diet_vegetarian",,ref_000074,obs_0000011592|obs_0000027870,obs_0000011592
NEWCENTIAL,Damen-Funktionscapri,"€ 6,99",,Kein Mengenpreis,"Aus recyceltem, GRS-zertifiziertem Polyester und Elastan (LYCRA®) Schnelltrocknend und feuchtigkeitsableitend Hohe Leibhöhe Weitenverstellbarer Bund mit Kordelzug Integrierte Handytasche im Bund Mit reflektierenden Deko-Elementen Größen 36/38 - 44/46 (S - L)",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_535.jpg,cat_non_food,,ref_000075,,
NEWCENTIAL,Damen-Funktionstights,"€ 7,99",,Kein Mengenpreis,"Aus recyceltem, GRS-zertifiziertem Polyester, Polyamid und Elastan (LYCRA®) Schnelltrocknend und feuchtigkeitsableitend Weitenverstellbarer Bund mit Kordelzug Integrierte Handytasche im Bund Mit reflektierenden Deko-Elementen Größen 36/38 - 44/46 (S - L)",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_534.jpg,cat_non_food,,ref_000076,obs_0000010300|obs_0000022792|obs_0000014774|obs_0000023483|obs_0000022372|obs_0000023891,obs_0000010300|obs_0000022792|obs_0000014774|obs_0000023483|obs_0000022372
NEWCENTIAL,Damen-Funktionsweste,"€ 11,99",,Kein Mengenpreis,"Aus recyceltem, GRS-zertifiziertem Polyester und Elastan (LYCRA®) Wasserabweisendes Obermaterial Körpernah geschnitten Dehnbare Einsätze an Rücken und Seiten Durchgehender Reißverschluss mit Kinnschutz Seitliche Reißverschlusstaschen Mit reflektierenden Deko-Elementen Größen 36/38 - 44/46 (S - L)",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_549.jpg,cat_non_food,,ref_000077,,obs_0000013302
MUSTANG,Damen-Handtasche,"€ 24,99",,Kein Mengenpreis,Obermaterial aus PU Größe ca. B 45 x H 30 x T 12 cm,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_563.jpg,cat_non_food,,ref_000078,,
MUSTANG,Damen-Langarmshirt,"€ 14,99",UVP 29.99,Kein Mengenpreis,Aus Baumwolle Größen S - XL,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_536.jpg,cat_non_food,,ref_000079,obs_0000017911|obs_0000018021|obs_0000018215,obs_0000012502|obs_0000003447|obs_0000017911|obs_0000018021|obs_0000018215
MUSTANG,Damen-Ledergürtel,"€ 17,99",UVP 25.95,Kein Mengenpreis,Längen 85 - 100 cm,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_538.jpg,cat_non_food,,ref_000080,obs_0000003286,obs_0000003286
MUSTANG,Damen-Lederjacke,"€ 99,99",UVP 249.00,Kein Mengenpreis,Aus Schafsleder Größen S - XL,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_533.jpg,cat_non_food,,ref_000081,obs_0000012594,obs_0000012594
MUSTANG,Damen-Pyjama,"€ 19,99",UVP 49.95,Kein Mengenpreis,Aus Baumwolle Größen S - XL,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_532.jpg,cat_non_food,,ref_000082,obs_0000012706|obs_0000010745|obs_0000002581|obs_0000023356|obs_0000011162|obs_0000023553|obs_0000014135|obs_0000014228|obs_0000016401|obs_0000031092|obs_0000014852|obs_0000002597|obs_0000021075|obs_0000015061|obs_0000015563|obs_0000024264|obs_0000019067|obs_0000021181|obs_0000023244|obs_0000000757|obs_0000000761|obs_0000000843|obs_0000000941|obs_0000001121|obs_0000001410|obs_0000019886|obs_0000021173,obs_0000012706|obs_0000010745|obs_0000002581|obs_0000023356|obs_0000011162|obs_0000023553|obs_0000014135|obs_0000014228
MUSTANG,Damen-Sneakerschuhe,"€ 34,99",UVP 69.99,Kein Mengenpreis,Aus PU und Textil Laufsohle TPR Größen 37 - 41,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_542.jpg,cat_non_food,,ref_000083,,
MUSTANG,Damen-T-Shirt,"€ 9,99",UVP 19.99,Kein Mengenpreis,Aus Baumwolle Größen S - XL,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_537.jpg,cat_non_food,,ref_000084,obs_0000012691|obs_0000010713|obs_0000013325|obs_0000012008|obs_0000012147|obs_0000012502|obs_0000000755|obs_0000000968|obs_0000001225|obs_0000021849|obs_0000021991|obs_0000022098,obs_0000012691|obs_0000010713|obs_0000011165|obs_0000013325|obs_0000012008|obs_0000012147
ALWAYS,Damenbinden,"€ 6,49",7.99,Kein Mengenpreis,"versch. Sorten, teils mit Flügeln",Nein,Dieses Angebot findest du vom 16.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-16,2026-03-18,images_kaufland/kaufland_offer_807.jpg,cat_non_food,,ref_000085,obs_0000013193|obs_0000014478|obs_0000026417,obs_0000013193|obs_0000014478
NIVEA,Deo-Spray,"€ 7,47",,1 l = 12.47,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_389.jpg,cat_drogerie,,ref_000086,obs_0000012346|obs_0000010622|obs_0000030265|obs_0000031311|obs_0000011917|obs_0000029385|obs_0000012715|obs_0000011474|obs_0000013206|obs_0000010228,obs_0000030265|obs_0000012346|obs_0000031311|obs_0000029316|obs_0000011917|obs_0000029385|obs_0000024272|obs_0000030483|obs_0000010622|obs_0000012715
HIDROFUGAL,Deospray,"€ 3,29",3.75,1 l = 21.94,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_385.jpg,cat_drogerie,,ref_000087,obs_0000030264|obs_0000029316|obs_0000030483|obs_0000025516|obs_0000031041|obs_0000013635|obs_0000030918|obs_0000003015|obs_0000030409|obs_0000024272|obs_0000024404|obs_0000002132|obs_0000024693|obs_0000032122|obs_0000032353|obs_0000030722|obs_0000027527|obs_0000005273|obs_0000030236|obs_0000029604|obs_0000031909|obs_0000027179|obs_0000029740|obs_0000028208|obs_0000012756|obs_0000005081|obs_0000003317|obs_0000007550|obs_0000031517|obs_0000006951|obs_0000031040|obs_0000030660|obs_0000013640|obs_0000030921|obs_0000031312|obs_0000031706|obs_0000030830|obs_0000030581|obs_0000018957|obs_0000030242|obs_0000019776|obs_0000023382|obs_0000027866|obs_0000006741,obs_0000029316|obs_0000030483|obs_0000025516|obs_0000030264|obs_0000031041|obs_0000013635|obs_0000030918|obs_0000003015|obs_0000030409|obs_0000024272|obs_0000024404|obs_0000002132|obs_0000024693|obs_0000032122|obs_0000032353
