Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Doppel-Sortimentskasten,WORKZONE,"€ 7,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_092.jpg,"cat_non_food,tag_ultra_processed"
Alu-Teleskopleiter,WORKZONE,"€ 79,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_093.jpg,"cat_non_food,diet_vegetarian"
Sweathose,LILY DAN,"€ 6,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_094.jpg,cat_non_food
Kabellose Kopfhörer,Balco,"€ 9,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_095.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Handgepäck-Trolley,LIVE IN STYLE,"€ 24,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_096.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Sweatjacke,LILY DAN,"€ 6,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_097.jpg,cat_non_food
Trolley,Trolley,"€ 49,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_098.jpg,cat_non_food
Hartschalen-Trolley,LIVE IN STYLE,"€ 29,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_099.jpg,cat_non_food
Schirm,UP2FASHION,"€ 4,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_100.jpg,"cat_non_food,tag_ultra_processed"
Langärmeliger Body,UP2FASHION,"€ 8,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_101.jpg,cat_drogerie
Loungewear-Jacke,UP2FASHION,"€ 12,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_102.jpg,"cat_non_food,tag_ultra_processed"
Loungewear-Hose,UP2FASHION,"€ 9,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_103.jpg,cat_non_food
