Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Ferrero Milchschnitte,Keine Marke,"€ 2,29",Kein vorheriger Preis,7.44 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_059.png,0
Maxi Dessert Ei,Keine Marke,"€ 4,0",Kein vorheriger Preis,24.94 / kg,"gekühlt, Vanillequark, versch. Sorten Handpuppe ca. 17 cm groß",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_060.png,0
Nadler Sahneheringsfilets,Keine Marke,"€ 2,49",Kein vorheriger Preis,5.66 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_061.png,0
Orangen,Keine Marke,"€ 2,0",Kein vorheriger Preis,Kein Mengenpreis,"Italien/Spanien, Kl. II,",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_029.png,0
Zitronen,Keine Marke,"€ 1,29","€ 1,49",2.58 / kg,"Italien/Spanien, Kl. II",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_030.png,0
Ingwer,Keine Marke,"€ 0,49",Kein vorheriger Preis,4.90 / kg,China,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_032.png,0
Mini-Romanasalat,Keine Marke,"€ 1,5","€ 1,99",Kein Mengenpreis,"Spanien, Kl. II",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_033.png,0
Zwiebeln,Keine Marke,"€ 1,19",Kein vorheriger Preis,1.59 / kg,"Deutschland, Kl. II",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_034.png,0
Weihnachtsstern,Keine Marke,"€ 2,49",Kein vorheriger Preis,Kein Mengenpreis,"ca. 25 cm hoch, Ø = 11 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_035.png,0
Leerdammer,Keine Marke,"€ 1,5","€ 2,89",10.64 - 14.90 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_008.png,0
Bergader Minitorte,Keine Marke,"€ 1,7","€ 1,99",11.27 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_068.png,0
Milram Reibekäse,Keine Marke,"€ 1,49",Kein vorheriger Preis,9.93 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_067.png,0
