Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
"EDEKA Herzstücke Saft, Nektar oder Fruchtsaftgetränk",Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 l = 1,49 €","verschiedene Sorten, 1 Liter Flasche + 0,25 Pfand, (1 l = 1,49 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/edeka-herzst-cke-saft-nektar-oder-fruchtsaftgetr-nk.jpg,0
Lachsschinken,Keine Marke,"€ 1,59",Kein vorheriger Preis,Kein Mengenpreis,"roh, mild im Geschmack, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/lachsschinken.jpg,0
iglo Filegro oder Goldknusper Filet,Keine Marke,"€ 2,79",Kein vorheriger Preis,"1 kg = 9,30-12,68 €","verschiedene Sorten, tiefgefroren, 220-300 g Packung, (1 kg = 9,30-12,68 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/iglo-filegro-oder-goldknusper-filet.jpg,0
Fürst von Metternich Sekt,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 l = 9,95 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes., 0,2 Liter Piccolo-Flasche, (1 l = 9,95 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/f-rst-von-metternich-sekt.jpg,0
Adelholzener Mineralwasser,Keine Marke,"€ 5,79",Kein vorheriger Preis,"1 l = 0,64 €","verschiedene Sorten, 12 x 0,75 Liter Kasten + 3,30 Pfand, (1 l = 0,64 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/adelholzener-mineralwasser.jpg,0
Cointreau Likör,Keine Marke,"€ 14,99",Kein vorheriger Preis,"1 l = 21,41 €","40 % Vol., 0,7 Liter Flasche, (1 l = 21,41 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/cointreau-lik-r.jpg,0
Franken Qualitätswein,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 l = 2,99 €","aus Franken, verschiedene Sorten Ausgenommen Fränkischer Hausschoppen weiß und rot., 1 Liter Flasche, (1 l = 2,99 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/franken-qualit-tswein.jpg,0
Pott Rum oder Eierlikör,Keine Marke,"€ 8,99",Kein vorheriger Preis,"1 l = 12,84 €","40/16 % Vol., 0,7 Liter Flasche, (1 l = 12,84 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/pott-rum-oder-eierlik-r.jpg,0
Zubrowka Vodka,Keine Marke,"€ 9,99",Kein vorheriger Preis,"1 l = 14,27 €","verschiedene Sorten oder Bison Grass mit Grashalm 30-37,5 % Vol. Je nach Verfügbarkeit des Marktes., 0,7 Liter Flasche, (1 l = 14,27 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/zubrowka-vodka.jpg,0
Tullamore D.E.W. Irish Whiskey,Keine Marke,"€ 13,99",Kein vorheriger Preis,"1 l = 19,99 €","verschiedene Sorten, 35/40 % Vol. Je nach Verfügbarkeit des Marktes., 0,7 Liter Flasche, (1 l = 19,99 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/tullamore-d-e-w-irish-whiskey.jpg,0
Rheinberg Kellerei Dornfelder,Keine Marke,"€ 2,49",Kein vorheriger Preis,"1 l = 3,32 €","verschiedene Sorten, Kerner, Morio Muskat, Riesling, Grauburgunder oder Chardonnay aus der Pfalz, 0,75 Liter Flasche, (1 l = 3,32 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/rheinberg-kellerei-dornfelder.jpg,0
